,Author,EndDate,Site,StartDate,Text,Title,sv_score
0,,7062017,Reuters,6292017,"LONDON (Reuters) - The West’s three biggest energy corporations are lobbying Qatar to take part in a huge expansion of its gas production, handing Doha an unintended but timely boost in its bitter dispute with Gulf Arab neighbors. Company and industry sources told Reuters that the CEOs had expressed interest in helping Qatar with its ambition to produce 100 million tonnes of LNG annually - equivalent to a third of current global supplies - in the next five to seven years. The companies already have large investments in countries on both sides of the dispute, and are keen to remain neutral after Saudi Arabia, the United Arab Emirates, Bahrain and Egypt severed ties with Doha on June 5. [nL8N1JW0KM] Spokespeople from all three firms declined comment. However, a top executive from one energy major looking into expanding in Qatar said the huge business opportunity was worth the considerable political risk. “There is only one policy here – you have to behave like a commercial corporation,” the executive told Reuters. “You have to make your choices purely economically and be Qatari in Qatar, Emirati in the Emirates.” Energy sales have powered Qatar’s rapid rise as a regional  player since the late 1990s, and the oil majors’ interest in the LNG expansion underline its longer-term economic muscle during the political row with its neighbors. Chief executives Darren Woods of Exxon and Ben van Beurden of Shell both met the emir after the four Arab countries imposed the sanctions. Total chief Patrick Pouyanne has also visited Doha in recent weeks. Qatar, the world’s largest LNG supplier and second biggest gas exporter after Russia, has some of the lowest production costs. The plan was seen as an opening shot in a price war as Doha tries to defend its market share, especially against supplies from U.S. shale deposits where costs are higher. The four Arab countries, which have demanded Qatar stop fostering terrorism and courting Iran, said after meeting on Wednesday that Doha’s response to their grievances had been negative. Saudi Foreign Minister Adel al-Jubeir said the political and economic boycott would remain until Qatar improved its policies. Further steps would be taken at the appropriate time, he said. Doha denies aiding terrorism and its foreign minister, Sheikh Mohammed bin Abdulrahman al-Thani, accused the four of “clear aggression” while adding that Qatar continued to call for dialogue to settle the dispute. [nL8N1JW27A] [nL8N1JW1Y1] Exxon, Shell and Total have already invested extensively in Qatar, particularly in projects to liquefy gas, allowing it to be shipped by tanker to consumer markets where transport by pipeline is not feasible. Woods met the emir on June 26, discussing “cooperation” with Qatar, where Exxon has been present since 1935, according to a statement carried by the state news agency. Industry sources close to the talks said that “the Exxon CEO was very keen to join the new gas capacity expansion and expressed willingness to invest”. Woods replaced Rex Tillerson, under whom Exxon helped to build Qatar’s LNG industry until he left to become U.S. Secretary of State earlier this year. Exxon will be the largest foreign investor in Qatar in 2017, with most money going into LNG facilities, representing around seven percent of its global portfolio, according to consultancy WoodMackenzie. Shell’s Van Beurden was among the first foreign company leaders to visit Qatar after the crisis broke out, meeting the emir on June 14. This was followed several days later by a new deal under which Qatar will supply Shell, the world’s largest LNG trader, with 1.1 million tonnes annually for five years starting in 2019. Shell’s operations in Qatar include Pearl GTL, the world’s largest gas liquefaction plant. Its overall investments in the state represent around six percent of its global portfolio. The three firms had been expecting Qatar to expand its LNG exports since it lifted a self-imposed moratorium on development of the North Field, the world’s biggest natural gas field it shares with Iran, the sources said. Oil and gas companies generally are no strangers to operating in risky areas. This week Total became the first Western energy firm to invest in Iran since the lifting of sanctions against the country. The project, phase 11 of Iran’s South Pars development, draws gas from the same reservoir as Qatar’s North Field.[nL8N1JU2W4] Total chief Pouyanne discussed new opportunities in the LNG sector as well as the company’s plans to develop the Al-Shaheen oil field on his trip to Doha, according to a senior source. Qatar’s LNG capacity could be boosted by up to 10 million tonnes per year relatively quickly and cheaply by optimizing existing facilities and upgrading a small number of units, a process known as “debottlenecking”, according to a senior industry source. Beyond that, the expansion would require building new liquefaction terminals involving significant investments, which the energy giants can offer. “Qatar LNG is really an important part of their overall portfolio, especially for Exxon but Total and Shell are also material LNG players there,” Tom Ellacott, analyst at WoodMackenzie said. “Qatar LNG is very competitive. Debottlenecking will be a relatively cheap option to increase capacity, but with the industry at a low point in the cost cycle, it may also be a good time to install new terminals.” ","
                Exclusive: Energy giants court Qatar for gas expansion role despite crisis | Reuters",0.9145
1,,7062017,Reuters,6292017,"HANOI/NEW DELHI (Reuters) - Vietnam has extended an Indian oil concession in the South China Sea and begun drilling in another area it disputes with China in moves that could heighten tensions over who owns what in the vital maritime region. The moves come at a delicate time in Beijing’s relations with Vietnam, which claims parts of the sea, and India, which recently sent warships to monitor the Malacca Straits, through which most of China’s energy supplies and trade passes. Vietnam granted Indian oil firm ONGC Videsh a two-year extension to explore oil block 128 in a letter that arrived earlier this week, the state-run company’s managing director Narendra K. Verma told Reuters. Part of that block is in the U-shaped ‘nine-dash line’ which marks the vast area that China claims in the sea, a route for  more than $5 trillion in trade each year in which the Philippines, Brunei, Malaysia and Taiwan also have claims. A senior official of ONGC Videsh, who asked not to be named because of the sensitivity of the matter, said interest in the block was strategic rather than commercial, given that oil development there was seen as high-risk with only moderate potential. “Vietnam also wants us to be there because of China’s interventions in the South China Sea,” the official said. Vietnam’s state-run PetroVietnam declined to comment on the concession, which was first granted to India in 2006 but had been due to expire in mid-June. Conflicting territorial claims over the sea stretch back many decades but have intensified in recent years as China and its rivals have reinforced their positions on the rocks and reefs they hold. Far to the south of block 128, drilling has begun in a block owned jointly by Vietnam’s state oil firm, Spain’s Repsol and Mubadala Development Co [MUDEV.UL] of the United Arab Emirates. Deepsea Metro I, operated by Odfjell Drilling Ltd., has been drilling in the region since the middle of last month on behalf of Spain’s Repsol SA, which also has rights to neighboring block 07/03, Odfjell said. Odfjell declined to comment on the specific location of its vessel, but shipping data from Thomson Reuters Eikon showed it was in oil block 136/3, which also overlaps China’s claims. Odfjell’s Eirik Knudsen, V‎ice President for Corporate Finance and Investor Relations, referred further queries to Repsol, which declined to comment. PetroVietnam made no comment. When asked about the activity, Chinese foreign ministry spokesman Geng Shuang said China opposes anyone “carrying out unilateral, illegal oil and gas activities in waters China has jurisdiction over”. “We hope the relevant country can act on the basis of maintaining regional peace and stability and not do anything to complicate the situation,” he told a briefing in Beijing. Chinese General Fan Changlong cut short a visit to Vietnam and a friendship meeting at the China-Vietnam border was canceled around the time the drilling began. The centuries-old mistrust between China and Vietnam is nowhere more evident than in their competing maritime claims, despite their shared communist ideology and growing trade. Asked about the most recent drilling, Vietnamese officials said their Chinese counterparts have started raising concerns about cooperation with both Repsol and ExxonMobil Corp. of the United States, which is developing the $10 billion “Blue Whale” gas concession off central Vietnam. They said Chinese officials also expressed concern at Vietnam’s evolving security relationships with the United States and Japan, both of which have offered moral support for its South China Sea claims and help for Vietnam’s coastguard. Tensions with China were being contained, however, and had not yet reached crisis proportions, they said. “We know they are unhappy again, but we are resisting the pressure – it is a traditional part of our relations with Beijing,” one official said privately. “Other parts of the relationship remain strong.” Underlining the relationship between India and Vietnam, Vietnamese deputy prime minister Pham Binh Minh told a forum in New Delhi this week that India was welcome to play a bigger role in Southeast Asia - and specifically the South China Sea. Hanoi’s growing defense and commercial ties with India are part of its strategy of seeking many partnerships with big powers while avoiding formal military alliances. The pace has picked up since Indian Prime Minister Narendra Modi’s administration took office in 2014 and sought to push back against China’s expanding presence in South Asia by raising its diplomatic and military engagement in Southeast Asia. India is providing naval patrol boats, satellite cover to monitor Vietnam’s waters and training for its submarines and fighter pilots - more military support than it is giving to any other Southeast Asian country. On the agenda are transfers of naval vessels and missiles under a $500 million defense credit line announced last year. Next week, the navies of India, the United States and Japan will hold their largest joint exercises in the Bay of Bengal. ","
                Vietnam renews India oil deal in tense South China Sea | Reuters",0.9831
2,,7062017,Reuters,6292017,"TORONTO (Reuters) - The U.S government warned industrial firms this week about a hacking campaign targeting the nuclear and energy sectors, the latest event to highlight the power industry’s vulnerability to cyber attacks. Since at least May, hackers used tainted “phishing” emails to “harvest credentials” so they could gain access to networks of their targets, according to a joint report from the U.S. Department of Homeland Security and Federal Bureau of Investigation. The report provided to the industrial firms was reviewed by Reuters on Friday. While disclosing attacks, and warning that in some cases hackers succeeded in compromising the networks of their targets, it did not identify any specific victims. “Historically, cyber actors have strategically targeted the energy sector with various goals ranging from cyber espionage to the ability to disrupt energy systems in the event of a hostile conflict,” the report said. Homeland Security and FBI officials could not be reached for comment on the report, which was dated June 28. The report was released during a week of heavy hacking activity. A virus dubbed “NotPetya” attacked on Tuesday, spreading from initial infections in Ukraine to businesses around the globe. It encrypted data on infected machines, rendering them inoperable and disrupting activity at ports, law firms and factories. On Tuesday the energy-industry news site E&E News reported that U.S. investigators were looking into cyber intrusions this year at multiple nuclear power generators. Reuters has not confirmed details of the E&E News report, which said there was no evidence safety systems had been compromised at affected plants. The activity described in the U.S. government report comes at a time when industrial firms are particularly anxious about threat that hackers pose to their operations. Industrial firms, including power providers and other utilities, have been particularly worried about the potential for destructive cyber attacks since December 2016, when hackers cut electricity in Ukraine. Two cyber security firms said on June 12 that they had identified the malicious software used in the Ukraine attack, which they dubbed Industroyer, warning that it could be easily modified to attack utilities in the United States and Europe. Industroyer is only the second piece of malware uncovered to date that is capable of disrupting industrial processes without the need for hackers to manually intervene. The first, Stuxnet, was discovered in 2010 and is widely believed by security researchers to have been used by the United States and Israel to attack Iran’s nuclear program. The U.S. government report said attackers conducted reconnaissance to gain information about the individuals whose computers they sought to infect so that they create “decoy documents” on topics of interest to their targets. In an analysis, it described 11 files used in the attacks, including malware downloaders and tools that allow the hackers to take remote control of victim’s computers and travel across their networks. ","
                U.S. warns businesses of hacking campaign against nuclear, energy firms | Reuters",-0.9447
3,,7062017,Reuters,6292017,"LONDON/OSLO (Reuters) - Investors are slowly starting to push companies to reduce their carbon footprint and help the world meet targets on limiting global warming that were agreed in the 2015 Paris climate talks. Energy firms have faced shareholder demands to do more to curb carbon emissions, while some pension funds are demanding more commitment to climate goals from firms they invest in. Yet progress has still been modest since the Paris deal agreed by almost 200 nations came into force in November last year, aiming to limit global warming to 2 degrees Celsius (3.6 Fahrenheit) above pre-industrial times. “Lots of investors are looking to align their investments with a 2 degrees world. It’s just at what pace they all get there,” said Fiona Reynolds, managing director at the United Nations-backed Principles for Responsible Investment. Advocates of the climate deal hope new impetus will come from Thursday’s document published by the Financial Stability Board’s Task Force on Climate Related Financial Disclosures (TCFD), a group set up by G20 nations. The task force’s document outlines a voluntary framework for companies to disclose the financial impact of climate-related risks and opportunities, drawing support from more than 100 companies with $11 trillion of assets. It aims to help investors, lenders, insurers and other stakeholders understand how firms manage climate risk and guide companies on information they should provide to explain their climate strategy, ultimately helping ensure corporate laggards are held to account. “The more companies report effectively on climate related risks and opportunities, the easier it becomes for investors to allocate the substantial amounts of capital required to implement the Paris Agreement,” said Philippe Desfossés, chief executive of French pension fund ERAFP. Sweden’s largest national pension fund AP7 set a high benchmark in June when it named six companies it said had breached the Paris accord, and ditched them from its portfolio. Several energy firms have faced shareholder rebellions at annual general meetings over their stance on climate change. ExxonMobil XON.N has been accused of misleading investors by a U.S. prosecutor, allegations the U.S. firm has dismissed as “frivolous”. Many energy firms have been sharing more information on their climate strategies, and some mining companies are starting to follow suit, such as iron ore miner Vale VALE5.SA. In a Reuters survey, 13 leading public and corporate pension schemes in Europe, Asia and North America managing a total $1.1 trillion said they were committed to engaging firms on their climate strategy. Three of those funds said explicitly that divestment was an option if talks were unsatisfactory. However, some funds said the threat of divestment was not the best approach to encouraging firms to improve environmental, social and governance (ESG) issues. “We think engagement investment is about promoting companies to be involved with ESG through engagement,” said Hiroichi Yagi, an adviser to the pension fund of Japan’s Secom, a leading security firm. “If you just sell and stop investing in companies that are not mindful of climate change, then you are abandoning engagement there,” he said, adding that he was not aware of any Japanese pension funds advocating divestment as an option. To date, most divestments have tended to be from companies mining coal, the dirtiest energy source. Some large investors, such as Norway’s $960-billion sovereign wealth fund, have set limits on how much revenues can come from that source. The most active asset owners on climate change have tended to be big pension schemes and sovereign wealth funds - Norway’s and New Zealand’s have reduced exposure to fossil fuels. Such firms have more in-house analysts to assess investments. Smaller funds are making slower progress in pushing climate issues up the agenda in determining investment policy. A survey by consultants Mercer of 1,241 European pension schemes, half of which had less than 100 million euros ($114 million) in assets, showed just 5 percent considered the financial impact of climate change on their portfolios. However, that was up from 4 percent a year earlier. “It’s ironic that the pace of response to this enormous issue is best described as glacial, outside a small group of leading funds,” said Phil Edwards, Mercer’s Global Director of Strategic Research, calling for more “urgency” to be applied. Advocates of the Paris accord hope the TFCD’s framework document will particularly assist smaller firms. Britain’s Environment Agency Protection Fund, a founder member of the Transition Pathway Initiative (TPI) that aims to help asset owners assess firms, said more than 3 trillion pounds  ($3.9 trillion) of assets were now being invested using the TPI’s guidelines. “We are aiming to be one of the first asset owners to do this to show our support for the TCFD and its pick up by other asset owners,” said Faith Ward, the scheme’s chief responsible investment officer. She said her fund planned to link its annual report to the TCFD framework. ","
                Investors slowly start to push climate change up their agenda | Reuters",0.9977
4,Rakesh Sharma,7062017,Investopedia,6292017,"Find the best broker for your trading or investing needs That is one big bite of Apple Inc. (AAPL). According to Calcbench, a research firm that analyzes financial data from the SEC, Apple has averaged $107.1 million in share repurchases daily since initiating its stock buyback program in August 2012. In sum, this means that the company has purchased $142 billion worth of its own stock during that period. For context, Exxon Mobil Corporation (XOM), which is the second biggest purchaser of its own stock, averaged $42.4 million of stock repurchases per day and spent a total of $55.88 billion for the initiative between 2012 and 2017. In its latest earnings report, Apple announced that it had spent $151 billion on stock repurchases since August 2012. Its pace of buybacks has accelerated since 2015, when it had purchased $80 billion worth of its own stock from shareholders. Apple also announced during its latest earnings call that it was planning to increase its share repurchase program to $210 billion from the year-ago level of $175 billion. (See also: Why Would a Company Buy Back Its Own Shares?) The Cupertino, California-based company's stock price has appreciated by 68% from 2012 to 2017, after adjusting for a stock split that occurred in 2014. Share repurchases increase the value of outstanding shares because the total number of shares available decreases even as their price remains the same. For example, Apple had 6.6 billion of its shares trading in the markets in 2013. As of this May, that number is down to 5.2 billion. According to some estimates, the decline in the number of shares has translated to a 21% bump in earnings per share for the company. (For more on Apple's history of stock splits, check out: If You Had Invested Right After Apple's IPO.) Much of Apple's share repurchase program is financed from its overseas cash pile. Of the company's $250 billion in cash, 90% is estimated to be parked abroad. In recent times, criticism has mounted against the company for failing to make acquisitions of innovative startups or invest in improving its innovation track record through the use of its cash. Critics have charged the company with ""financial engineering"" through stock buybacks to boost its bottom line, especially in the face of declining enthusiasm for its iconic iPhone. (See also: Apple Earnings Miss.) ",Apple Bought Back $107M of Stock Daily in Past 5 Years (AAPL) | Investopedia,0.9914
5,Pippa Stevens,7062017,CNBC,6292017,"MBF Clearing Corp. founder and CEO Mark Fisher is launching an ETF. Called the ""Essential 40,"" it's an index that tracks stocks ""essential to life,"" using a mix of active and passive management. Each stock has a 2.5% weighting. Here's the list: In tech: Facebook, Amazon, Cisco, Alphabet, Apple, Microsoft, Intel, ADP In energy: Exxon Mobil, Duke Energy, Enterprise Products In health care: UnitedHealth, Bristol-Myers Squibb, J&J In financials: Visa, JPMorgan, CME, AIG, Berkshire Hathaway B In materials: International Paper, Dow Chemical, Monsanto, US Steel, Potash In industrials: Waste Management, 3M, American Airlines, Boeing, FedEx, GE, Lockheed Martin In staples: Costco, Sysco, CVS In discretionary: CBS, Comcast, Charter Comm, GM, Home Depot In telecom: Verizon ",Fisher: here are the 40 essential stocks to own,0.8316
7,Matthew DiLallo,7062017,Fool,6292017,"Founded in 1993 by brothers Tom and David Gardner, The Motley Fool helps millions of people attain financial freedom through our website, podcasts, books, newspaper column, radio show, and premium investing services. Thanks to years of wild spending on land and new wells, Chesapeake Energy (NYSE:CHK) vaulted up the leaderboard and became one of America's largest gas producers -- second only to ExxonMobil (NYSE:XOM). That rapid growth fueled an explosive rise in its stock price until oil and gas prices came crashing down, which knocked Chesapeake Energy to the brink of bankruptcy. However, by undertaking a score of strategic initiatives, the company has shored up its balance sheet, which now has it in the position to thrive at lower commodity prices. In fact, the company is planning to expand output by 5% to 15% annually through the end of the decade if prices cooperate. That outlook has investors growing bullish that Chesapeake Energy could fuel profits into their portfolios in the coming years. That said, as compelling as Chesapeake Energy's upside potential is, Devon Energy (NYSE:DVN) and EQT Corp (NYSE:EQT) expect to grow at a much faster pace in the coming years. Even better, those companies can do so with less risk, which should cause Chesapeake Energy bulls to take notice. Image source: Getty Images. One of the reasons investors are bullish on Chesapeake Energy is that it holds significant acreage positions in many of the country's fastest growing shale plays. However, one of the hindrances holding the company back from developing those assets is the debt on its balance sheet. While the company has cut debt by $2.6 billion over the past year and a half, it still has $9.1 billion remaining, which is too much debt for a company of its size in the current market environment. That's why investors who like Chesapeake's exposure to several shale plays should love Devon Energy since it also holds significant positions in most of the top shale plays, including the STACK play of Oklahoma, which is one of Chesapeake's emerging growth engines. In fact, Devon Energy controls the largest acreage position in the STACK, which when combined with its Permian Basin position, should fuel 13% to 17% oil production growth this year, and 20% growth in 2018. Contrast that with Chesapeake Energy, which only expects to deliver 10% oil growth this year, and that's off a lower base. One of the reasons Devon Energy can grow at a faster pace in the current market environment is its top-tier balance sheet. In fact, Devon has only slightly more debt at $10.3 billion but produces twice as much oil and gas as Chesapeake does on a daily basis. Furthermore, the bulk of its production comes from higher-margin liquids, which gives it more cash flow to cover its debt. That combination of greater growth with less financial risk makes Devon worth a closer look. Image source: Getty Images. Those higher drilling returns should enable EQT Corp to grow at a faster pace without spending any more capital. According to the company's projections, it can increase production by a more than 20% compound rate through the end of the decade, which trounces Chesapeake's forecast. Furthermore, EQT can finance that growth while living within cash flow, enabling it to maintain an investment-grade balance sheet. That combination of robust returns-driving growth with less financial risk makes it a compelling option for risk-averse investors. After nearly collapsing under the weight of its debt last year, Chesapeake Energy has come roaring back, thanks to a significant improvement in its financial situation and growth prospects. That said, as compelling as Chesapeake Energy might be for investors, Devon Energy and EQT Corp offer faster growth with lower risk because of their stronger balance sheets. That's why investors who are bullish on Chesapeake should take a closer look at what these two energy stocks have to offer. ","
      
    Bullish on Chesapeake Energy Corporation? You'll Love These Stocks -- The Motley Fool

  ",0.9954
8,Tyler Crowe,7062017,Fool,6292017,"Founded in 1993 by brothers Tom and David Gardner, The Motley Fool helps millions of people attain financial freedom through our website, podcasts, books, newspaper column, radio show, and premium investing services. This past quarter, BP (NYSE:BP) looked like it was on the precipice of something big. Not only were earnings starting to look better, but BP is about to enter a rather impressive growth phase as several major projects come on line. On the company's most recent conference call, BP CFO Brian Gilvary touched on this major growth phase and how it will impact the bottom line as well as the overall economics. And, of course, no BP discussion would be complete without some discussion of the Macondo oil spill and the ongoing costs. Here are several quotes from the company's most recent conference call that should help give you a better understanding of BP's mind-set headed into the rest of the year. Image source: Getty Images. BP has been waffling quite a bit lately on how it is planning for the future. Integrated majors typically use some future oil price as a means to develop budgets and value prospective finds. Less than a year ago, the company was looking to achieve a breakeven of $50-$55 per barrel of Brent crude. Then, last quarter, CEO Bod Dudley said that the corporation would be able to ""re-balance its financial framework"" at $60 a barrel. This past conference call, CFO Brian Gilvary added a few new numbers into the mix. As noted in February, based on our current planning assumptions, this is consistent with our organic cash balance point reducing steadily to around $35 to $40 per barrel over the period [2017-2021] with the recent portfolio additions adding even more resilience to the portfolio. If you are a little confused by all these numbers being thrown around, you aren't the only one. The difference here seems to be that, at present, an oil price of $50-$55 per barrel is enough to cover its current capital spending as well as its dividend payments. That $60 a barrel is sufficient to achieve both of these things as well as eliminate the scrip dividend and lower its total debt levels to the desired range of 20%-30% of the capital structure. Finally, that range of $35-$40 per barrel is what breakeven will be several years from now when many of its major capital projects have come on line and spending is lower. That last one is a little harder to believe, though, since the company will likely embark on new spending projects once those under construction come on stream. 2017 is slated to be a big year for BP's oil and gas production. By the end of the year, it expects to have seven major capital projects completed and producing. When asked what kind of impact that would have on the company's cash flow, Gilvary was pretty clear that it will lead to a significant bump in operational cash, and it will have an impact on breakeven prices. In terms of material cash flows, yes, it is in terms of the operating cash. It gets driven off the back of the seven major projects coming on stream this year. And so the way in which the year was always set up was that the operating cash flow would grow through the first, second, third, fourth quarter with the major piece coming through in the fourth quarter. And that's why by the time we get to the end of the year, you see our breakeven economics come down quite significantly. By material you should assume that number means bigger than $1 billion delta versus where we are in the first quarter by the time we get to the end of the year. It will probably be significantly above that. For a while now, one of the largest stains on BP's quarterly results has been its U.S. operations, notably its ventures into shale. It wasn't that long ago that the company internally spun off its Lower 48 operations into an independent business that runs within BP to better respond to the fast-paced nature of shale drilling. It hasn't worked out so well thus far. This past quarter, U.S. upstream operations only accounted for 12% of upstream earnings even though it was 30% of total production. When asked what the company's capital plans were for the U.S., here's what Gilvary had to say. In terms of U.S. onshore, we today have – I think we're now back up to about 12 rigs in the first quarter of 2017, versus 5 in the fourth quarter. You'll see that ramp-up as the team experiments within each of the basins. But we're now running 12 rigs. Cash breakeven on a full free cash basis has now come down almost half from the full year 2015 to where we are in the first quarter of 2017, down around $2.60 [per thousand cubic feet of gas] or that sort of level, in terms of cash breakeven. The thing that should be a little concerning here is that the company is still doing experimental drilling to determine the best path forward for shale. Compare that with ExxonMobil and Chevron, which both have plans to grow significantly in the Permian Basin over the next few years. Part of BP's slower response is that the company's shale assets are much more related to gas -- hence the breakeven results given in natural gas prices.  Still, BP is going to have to figure out how to turn these operations into higher rates of return, because they aren't getting it done today. At the top of the conference call, Gilvary said that BP's capital spending would likely be in the $15 billion to $16 billion range, which was the lower end of its initial projections. Those plans were contingent, of course, on oil prices in a certain range. When asked if there was room to cut spending or if this was about as low as it gets for the year, Gilvary said there was still some wiggle room. [W]e could take another $1 billion out if we had to at though – in that scenario. But all options are open to us at that point in terms of flexibility within the financial frame and what else we need to look at. But I think it's an unlikely scenario from where we are today. As you see demand grow, we expect crude stocks to come back into line. Actually, crude stocks will probably still be at the top end of their historic range by the end of this year. So I think something around $50, $55 a barrel seems a reasonable assumption on a point forward basis. If it drops below $50, we have further flexibility in terms of how we manage that. That last part is important because oil prices have dipped below that $50-a-barrel mark. Don't be surprised if we get a lower capital budget projection in the coming months. It seems that the Macondo well spill is the issue that just won't go away. While the company did settle with the U.S. government, which will involve annual payments for more than a decade, the company still has some outstanding claims from businesses that claimed the spill impacted their operations. These led to some large spill costs this year, but Gilvary noted that almost all claims have now been processed and that we can expect outlays related to the Macondo spill will decline soon. Of the 149,000 [claims], we're down to about 4,000, of which 3,000 are recycled claims that at one point have been rejected and have come back into the system through the process that's allowed. So I think we're down to less than 1,000 claims now in terms of closing that process out going forward – in terms of less than 1,000 claims that we haven't yet had line of sight of. So I think we're now finally into the tail around business economic loss claims. And in terms of Macondo – and therefore being able to quantify and price up what that looks like on a quarterly basis, we're much closer to now. Management expects that total costs for the Macondo in 2017 will be $4.5 billion to $5.5 billion depending on these claims. In 2018, costs will drop to $2 billion in 2019, and then down to $1 billion per year for several years starting in 2019. ","
      
    5 Things BP's Management Thinks You Should Know -- The Motley Fool

  ",0.9901
9,,7132017,Reuters,7062017,"The 2nd U.S. Circuit Court of Appeals in Manhattan said a lower court judge erred in entering a judgment to enforce the $1.6 billion award, since reduced to about $188 million, announced in October 2014 by the World Bank’s International Centre for Settlement of Investment Disputes (ICSID). It agreed with Venezuela’s argument, which the U.S. government supported, that Exxon should have tried to enforce the award under the federal Foreign Sovereign Immunities Act (FSIA), which offers more protections for sovereign defendants, rather than be permitted to use streamlined procedures. “Applying the FSIA will facilitate national uniformity in procedure,” Circuit Judge Susan Carney wrote. “Consistency as to enforcement seems to us importantly aligned with the values of predictability and federal control that foreign affairs demands and that the FSIA was designed to promote.” Exxon spokesman Todd Spitler said the Irving, Texas-based oil company disagreed with the 3-0 decision and is considering its legal options. Venezuela and its U.S.-based lawyers did not immediately respond to requests for comment. The case arose from Venezuela’s seizure of Exxon assets in the Cerro Negro and La Ceiba oil development ventures, when the country was nationalizing its oil industry. Exxon had made its investments on a joint-venture basis with the state-owned Petroleos de Venezuela SA. According to court papers, an ICSID annulment committee on March 9 threw out nearly all of the arbitration award that concerned the Cerro Negro project, reducing Venezuela’s payout to $188.3 million from $1.6 billion. Tuesday’s decision voids a 2015 judgment by U.S. District Judge Paul Engelmayer in Manhattan. The appeals court also said Exxon’s petition should be dismissed without prejudice, allowing the company to seek enforcement in compliance with the FSIA. The case is Mobil Cerro Negro Ltd et al v Bolivarian Republic of Venezuela, 2nd U.S. Circuit Court of Appeals, No. 15-707. ","
                Exxon blocked from enforcing Venezuela arbitration award: U.S. appeals court | Reuters",0.9442
10,,7132017,Reuters,7062017,"BlackRock said it supported the shareholder motions to press companies to develop or disclose policies geared to promote gender diversity. It did not name the companies it pushed but said the “majority” had boards of directors lacking women. “We’ve been particularly focused on increasing the number of women on U.S. boards because progress in the U.S. has been slower than in many other markets,” BlackRock said in a report it distributed. “Board diversity, particularly in terms of gender, is important from a sustainable investment perspective, given that diverse groups have been demonstrated to make better decisions,” it added. “This appears to be because they are better able to consider, where appropriate, alternatives to current strategies - a proposition that can ultimately lead to sustained value creation.” Women hold about a fifth of board seats in the S&P 500 .SPX index, according to Catalyst Inc, an advocacy group. BlackRock said it also voted against board members at five companies who sat on nominating committees but failed to respond to investors’ concerns about diversity. It was the first year the company “decided to vote against members of the nomination committee of men-only boards in a more systematic manner,” a spokesman said, although it had engaged on the topic of gender diversity for “many years.” The New York-based company manages more than $5.4 trillion in assets, many in index funds that buy broad swaths of the market, making it a top shareholder in most public companies. It has been pressured by activists and investors to back shareholder-fronted propositions and vote against obstinate boards to prompt better corporate citizenship. Chief Executive Larry Fink has encouraged executives to adjust their behavior to focus on generating long-term value for shareholders, rather than meeting short-term earnings targets. BlackRock’s own board includes 17 members, four of whom are women. ","
                BlackRock supports effort to boost number of women board members | Reuters",0.9857
