Author,EndDate,Site,StartDate,Text,Title
 ,08312017,Reuters,08242017,"You don't have permission to access /advisory-board-co-nasdaqabco-sentiment-up-in-2016-q4/
on this server. Additionally, a 403 Forbidden
error was encountered while trying to use an ErrorDocument to handle the request. ",403 Forbidden
 ,08312017,Reuters,08242017,"(Reuters) - Advisory Board Co said it would sell its healthcare business to UnitedHealth Group Inc’s Optum unit and education business to private equity firm Vista Equity Partners, for a total deal value of $2.58 billion. Shares of the company, which was targeted by activist fund Elliott Management, rose 6.2 percent to $52.95 in morning trading on Tuesday. The company, which provides research and software tools as well as consulting services to healthcare and education firms, said it would sell its education business for $1.55 billion and its healthcare business for $1.3 billion, including debt. The sale of the education business is expected to close by the end of this year or in early 2018, after which Advisory Board will merge its healthcare unit with Optum, the company said. Insurer UnitedHealth’s Optum business, which manages drug benefits and offers healthcare data analytics services, will also acquire Advisory Board’s equity interest in healthcare technology provider Evolent Health Inc. “It’s a smart, congruent and synergistic acquisition (for UnitedHealth),” Mizuho Securities analyst Sheryl Skolnick wrote in a note. The combined deal would give Advisory Board’s shareholders about $54.29 per share in cash, including a fixed amount of $52.65 per share and the after-tax value of its 7.6 percent stake in Evolent, at closing. Advisory Board said in February it would explore options, including a sale of part or the entire company, after activist fund Elliott Management said the company’s stock was “significantly undervalued”. Elliott had a nearly 5 percent stake in the company as of June 30, according to Thomson Reuters data. On Tuesday, Advisory Board said Elliott agreed to vote in favor of the deals. “Given that the company went through a detailed - and fairly lengthy - sales process, we do not believe that other bidders will emerge for the asset,” William Blair analyst Ryan Daniels said in a client note. Goldman Sachs & Co and Allen & Co were financial advisers to Advisory Board, while Skadden served as legal adviser. Evercore and Macquarie Capital were the financial advisers to Vista Equity Partners, while Kirkland & Ellis LLP was its legal adviser. ","
                Advisory Board to sell healthcare, education units in $2.58 billion deal | Reuters"
 ,08312017,Reuters,08242017,"NEW YORK (Reuters) - Ohio’s Department of Insurance said on Thursday that non-profit managed care company CareSource will sell health plans in Paulding County next year - the last county in the United States that would have been without Obamacare individual coverage in 2018. The Centers for Medicare and Medicaid Services (CMS) said on Wednesday that only Paulding County in northwestern Ohio was projected to be a “bare county” with no insurers in 2018, while 1,478 counties could have only one issuer next year. Just a month ago, CMS said there were 40 counties projected to have no insurers next year. Health insurers are facing an upheaval in their businesses amid growing uncertainty about healthcare legislation under President Donald Trump, who seeks to follow through on his promise to dismantle former President Barack Obama’s signature healthcare law, formally known as the Affordable Care Act. Insurers such as UnitedHealth Group Inc, Aetna Inc and Humana Inc have exited most of the states where they sold Obamacare plans, leaving hundreds of U.S. counties at risk of losing access to private health coverage in 2018. But other insurers, like Centene Corp, have filled those gaps, expanding into new counties that had lost their coverage options. In June, Centene said it would enter into three new states and would expand operations in six existing markets in 2018. ","
                Last 'bare county' in U.S. to get health insurer next year | Reuters"
 ,08312017,Reuters,08242017,"ZURICH (Reuters) - Novartis’s new gene-modifying cancer therapy’s $475,000-per-patient sticker price has drawn fire from advocate groups calling for cheaper drugs, but analysts said the Swiss drugmaker could initially struggle to break even. In a first for gene therapy in the United States, regulators approved Kymriah on Wednesday for patients up to 25 years of age who have relapsed or not been helped by previous treatment for B-cell acute lymphoblastic leukemia (ALL). While patient groups hailed the potent immunotherapy as a potential cancer game-changer, the Swiss drugmaker was also criticized for setting a price that places Kymriah among the most-expensive drugs ever. It trails only a couple of gene therapies for ulta-rare diseases. Since taxpayers have chipped in more than $200 million over the years for related research — much early work on the drug was done at the University of Pennsylvania — Novartis should have used more restraint, the Patients for Affordable Drugs lobby group said. “We believe it is excessive,” said David Mitchell, a cancer patient who founded the group. “Novartis should not get credit for bringing a $475,000 drug to market and claiming they could have charged people a lot more.” Novartis estimates that only 600 ALL patients a year would be eligible for Kymriah, making the initial pool for the treatment relatively scarce and worth less than $300 million. The company is also targeting the several thousand people a year who have relapsed or refractory diffuse large B-cell lymphoma (DLBCL) diagnosed, but it will not file Kymriah for that group until later this year. BREAK-EVEN POINT? Success with those patients is key to Novartis turning Kymriah into the $1 billion-a-year blockbuster drug the Swiss company predicts it will eventually become, but analysts say it is anyone’s guess when it will start covering its costs. “It is not clear what the break-even point for profitability is, as this is a very capital intensive endeavor,” said Bernstein analyst Tim Anderson, adding that Novartis is likely to cut the price of Kymriah for DLBCL patients. On Thursday Novartis said that its cost of goods per Kymriah treatment is confidential commercial information, but analysts estimate it could be as high as $200,000. The process is complex. Doctors remove T cells from each cancer victim and ship the material to its factory in Morris Plains, New Jersey. After re-engineering them to attack cancer, frozen cells are returned a couple weeks later for reinfusion into patients. Additionally, Novartis partner Oxford BioMedica, which supplies a key ingredient, may be due $100 million over the next three years, plus royalties on sales. Furthermore, competition is on the horizon. Gilead Sciences this week announced an $11.9 billion deal to buy Kite Pharma to gain access to a similar drug, while Bluebird Bio and Juno Therapeutics are all working on their own CAR-T therapies. While Kymriah’s price tag will grab headlines, it pales in comparison with some other gene therapy treatments. For instance, UniQure’s Glybera, for a very rare blood disorder, runs at about $1 million per patient. Meanwhile, GlaxoSmithKline’s Strimvelis, for so-called “bubble boy” disease, comes in at about $700,000 per patient. Novartis points out that some groups think the company could actually have charged more for Kymriah. British health authorities, for instance, had said that up to $650,000 might have been justified if the treatment added years to children’s lives. Novartis plans to charge insurers and payers only when the drug proves to be effective one month into treatment, a so-called “outcome-based” pricing scheme that puts some of the risk of the drug on its manufacturer. Even so, analysts hardly expect that to shield Novartis from criticism. “Expect turbulent public discussions on drug pricing, demonstrating that the road to hell is paved with good intentions,” said Bruno Bulic of equity research firm Baader Helvea. Bulic forecasts that Kymriah will start adding to Novartis’s bottom line only after 2019, when it is expected to be given to more patient groups. ","
                Profit on $475,000 Novartis cancer drug could be a while coming | Reuters"
 ,08312017,Reuters,08242017,"NEW DELHI (Reuters) - India has been investigating how Bloomberg Philanthropies, founded by billionaire Michael Bloomberg, funds local non-profit groups for anti-tobacco lobbying, government documents show, making it the latest foreign non-government organization to come under scrutiny. Prime Minister Narendra Modi’s government has since 2014 tightened surveillance of non-profit groups, saying they were acting against India’s national interests. Thousands of foreign-funded charities’ licenses have been canceled for misreporting donations. Critics, however, say the government has used the foreign funding law as a tool to silence non-profit groups which have raised concerns about the social costs of India’s rapid economic development. The intelligence wing of India’s home ministry last year drafted a note on Bloomberg Philanthropies, raising concerns that the foundation was running a campaign to “target” Indian tobacco businesses and “aggressively” lobby against the sector. Though the three-page note, reviewed by Reuters, said the Bloomberg initiative’s “claimed intention to free India of tobacco cannot be faulted” given the known risks from tobacco, it highlighted the sector’s importance, noting it brings in nearly $5 billion in annual revenue for governments, and provides a livelihood for millions of people. “Foreign interests making foreign contributions ... for purposes of lobbying against an established economic activity raises multiple concerns,” the note said, including, it said, an “adverse economic impact” on 35 million people. The June 3, 2016 note, marked “SECRET” and circulated to top government officials, including in Modi’s office, has not previously been reported. The probe continued until at least April this year, another government document showed. Rebecca Carriero, a spokeswoman for Michael Bloomberg and New York-based Bloomberg Philanthropies, declined to comment as they were unaware of any investigation. A home ministry spokesman said “queries which relate to security agencies cannot be answered.” Modi’s office did not respond to an email seeking comment. The ministry’s note was one of the factors behind the rejection of a foreign funding license renewal of at least one Bloomberg-funded India charity last October, said a senior government official aware of the investigation. Michael Bloomberg, one of the world’s richest people and a former New York City Mayor, has committed nearly $1 billion to support global tobacco control efforts. One of his focus countries is India, where tobacco kills 900,000 people a year. Other than funding Indian NGOs, Bloomberg’s charity has in the past worked on improving road safety and supported federal tobacco-control efforts. In 2015, Modi called Michael Bloomberg a “friend”, and the two agreed on working together on India’s ambitious plan to build so-called smart cities. The home ministry note said the Bloomberg charity successfully lobbied for the introduction of bigger health warnings on cigarette packs, “contrary” to the recommendations of a parliamentary panel. While the panel called for the size of warnings to be more than doubled to 50 percent of a pack’s surface area, the health ministry sought a higher figure of 85 percent. Despite protests from India’s $10 billion cigarette industry, the Supreme Court last year ordered manufacturers to follow the more stringent health ministry rules. That, the note said, was the first of the three-phase Bloomberg campaign targeting India’s tobacco industry. It did not explain how exactly the Bloomberg charity lobbied. While the note mirrored some of India’s tobacco lobby’s positions - such as how anti-smoking policies could adversely impact farmers - the government official said the investigation was not done at the behest of the industry. “Anti-tobacco lobby wants to kill revenue generating activities,” the official said. A health ministry official, however, said: “We don’t see tobacco as an economic activity.” He added that the health ministry was unaware of the home ministry’s note on Bloomberg Philanthropies. India has stepped up scrutiny of NGOs registered under the Foreign Contribution Regulation Act (FCRA). In 2015, the home ministry put the Ford Foundation on a watch list and suspended Greenpeace India’s FCRA license, drawing criticism from the United States. Earlier this year, the government banned foreign funding for the Public Health Foundation of India, a group backed by the Bill & Melinda Gates Foundation, saying it used foreign donations to “lobby” for tobacco-control policy issues, “which is prohibited under FCRA.” In the Bloomberg case, the home ministry note included a chart showing how funds flowed from Bloomberg Philanthropies to its partner, the Campaign for Tobacco-Free Kids, which was then funding five local FCRA-registered NGOs. These NGOs, the note said, were being used by the Bloomberg charity for “anti-tobacco lobbying activities.” The FCRA license of at least one of them - the Institute of Public Health (IPH) Bengaluru - was not renewed in October, in part due to the home ministry’s note, the government official said. The IPH said it was told by the home ministry that its license was not being renewed on the basis of a “field agency report”, but no details were given. It was unaware of the investigation on Bloomberg Philanthropies. In April, the home ministry wrote to the federal health ministry, citing an “inquiry into foreign funding” for lobbying to change laws in India. The letter, seen by Reuters, mentioned the Bloomberg initiative and directed the health ministry to report on anti-tobacco lobbying by foreign donors in other countries where tobacco is widely used. The health ministry has not yet sent that report, another government official said. The health ministry did not respond to questions. For a graphic on Bloomberg's efforts to reduce tobacco use globally click tmsnrt.rs/2iD1QcX ","
                Exclusive: Bloomberg charity scrutinized by India for anti-tobacco funding, lobbying - documents | Reuters"
 ,08312017,Reuters,08242017,"TORONTO (Reuters) - As an influx of asylum seekers crossing from the United States strains Canada’s immigration system, the country is ramping up its deportation of migrants, government data shows. Deportations of Mexicans, who have flocked to Canada in growing numbers after a visa requirement was lifted in December, was already 66 percent higher in the first eight months of 2017 than the total from the previous year. Deportations of Haitians, thousands of whom have crossed into Canada illegally in the hopes of avoiding deportation from the United States, have also soared. Canada has deported 474 so far this year, compared to 100 for all of 2016 when the government lifted its own ban on deportations to Haiti, in place since a devastating 2010 earthquake. Overall, 5,529 people have been deported as of Tuesday, compared to 7,357 for all of 2016, the data shows. Canada’s Immigration and Refugee Board has called a rise in asylum-seekers through the U.S. border “unsustainable,” and Prime Minister Justin Trudeau’s government, fretting about another big surge in asylum claims, has been trying to warn people away. At the same time, Canada said this week it will be granting border-crossing asylum seekers swifter access to healthcare. They will also be eligible for work permits sooner. Refugee claimants are eligible for health coverage and work permits once their claims are processed, but that can take weeks or months. More than 10,000 asylum seekers have walked across the U.S. border into Canada to file refugee claims so far this year, including 3,800 into Quebec in the first two weeks of August alone, authorities have said. Canada is on track to record the most refugee claims in a decade. ","
                Canada ramps up deportations amid growing migrant influx | Reuters"
 ,08312017,Reuters,08242017,"KAMPALA (Reuters) - United Nations peacekeepers in South Sudan are moving more aggressively to protect civilians caught in the country’s four-year civil war, after years of criticism for failures that led to the sacking of the mission’s military chief last year. This year, the U.N. Mission in South Sudan (UNMISS) has rescued aid workers and U.N. staff during attacks, saved civilians from abduction by armed groups, and pushed past roadblocks to a massacre site. “A lot has been done ... to improve UNMISS’ ability to deliver on its protection of civilians mandate,” said Lauren Spink, a South Sudan specialist for the independent U.S.-based advocacy group Center for Civilians in Conflict (CIVIC). South Sudan was the world’s youngest country when it became independent from neighbouring Sudan in 2011 following decades of conflict. But the new nation dissolved into civil war less than two years later, after President Salva Kiir, an ethnic Dinka, fired his deputy, Riek Machar, a Nuer. Since then tens of thousands have died, and 3.5 million of the country’s 12 million citizens have fled their homes, creating Africa’s largest refugee crisis since Rwanda’s 1994 genocide. As the war spread, families flooded into U.N. bases seeking protection. More than 210,000 people now stay in six such bases, too fearful to go home. Between December 2013 and July 2016, more than 100 civilians and four U.N. peacekeepers were killed in attacks on U.N. bases when peacekeepers didn’t shoot back, fled, or delayed responding, according to data from the U.N. and CIVIC. But a chastened UNMISS has gradually taken a tougher stance, boosted by the January arrival of new chief David Shearer, a former New Zealand labour party leader. “We are trying to make our peacekeeping more robust,” Shearer told Reuters. “Our peacekeepers are going to stand up to situations and challenge them.” Several incidents demonstrate the change. In April, peacekeepers deployed to Aburoc, a village on the Nile. After the U.N. arrived, rebels withdrew, and a government offensive that had displaced 20,000 civilians paused. Aid workers then intervened to stop a cholera outbreak. The same month, peacekeepers went to Torit in the southeast to protect an orphanage housing 250 children caught between the front lines. Mongolian peacekeepers in northern Bentiu town have repeatedly rescued civilians from abduction by armed groups this year, including one incident where they fired their weapons. Reuters was unable to find records of such interventions for previous years. “There is improvement,” said Peter Ruach, who lives in the camp outside the U.N. base in Juba. A year ago government troops raped dozens of women who ventured outside the fence to search for food. “The Ethiopian battalion have cleared a buffer zone and they make sure that when women are going out for collection of firewood they are protected,” he said. Since the buffer zone opened at the end of November, serious crimes like rape and murder reported near the camp had dropped from around 48 per month to between 1 and 5, the U.N. said. U.N. peacekeepers have been in South Sudan since before independence, but found themselves frequently criticised after war broke out by aid groups like Doctors Without Borders, who said they were not doing enough to protect civilians. A year ago, peacekeepers at the U.N.’s main Juba base ignored desperate pleas for help when government troops attacked a hotel a mile away, killing one aid worker and gang-raping others. In following days, government troops raped dozens of Nuer women outside the same base. Ten aid agencies released a joint statement accusing peacekeepers of failing to adequately patrol the area. “The inability of UNMISS to protect civilians threatens to undermine any attempts at safety and security in the country and makes it impossible for humanitarian agencies to provide the help that is so urgently needed,” Frederick McCray, South Sudan Country Director at charity CARE, said at the time. The U.N. eventually launched an investigation that led to the firing of UNMISS’ top general, Kenya’s Johnson Ondieki, in November. In response, Kenya pulled its troops from the peacekeeping mission. Despite more robust peacekeeping, the violence continues. The mission has 12,000 armed peacekeepers and a budget of over a billion dollars. But that’s not enough to patrol a nation the size of France with under 300 km (185 miles) of paved roads. Peacekeepers were too stretched to deploy to Pagak, a rebel stronghold in the northeast, where a government offensive has displaced thousands and forced dozens of aid workers to evacuate since July, Shearer said. U.N. patrols did not intervene in the northwestern town of Wau in April when a government-aligned Dinka militia went door-to-door, executing at least 16 people of other ethnicities. Part of the problem is that the U.N. needs permission from South Sudan’s government for its presence. That can interfere with investigations or interventions aimed at government forces. Last week, the government grounded U.N. flights after a dispute about the deployment of an additional 4,000 troops to beef up the peacekeeping mission. The government is reluctant to accept the new force. “The U.N. cannot be totally independent in a country that is sovereign. They need to be working in cooperation with the government ... They cannot run a parallel government,” said presidential spokesman Ateny Wek Ateny. He denied that government forces had killed or abused civilians. “Government ... cannot do anything harmful to civilians that requires someone to come and protect them,” Ateny said. Shearer has responded to some roadblocks with public pressure. He took to U.N. radio to demand access to the Torit orphanage, and has ordered peacekeepers to hold their ground when their patrols are blocked by troops. “We’ve had several instances of platoons sleeping at checkpoints for up to three days until they were finally persistent enough to be allowed to go,” he said. But for some, U.N. intervention came too late. The U.N. did not arrive in Aburoc until April, well after the government offensive began in January. In the meantime, government forces killed civilians, bombing and shelling the area, and burning people alive in their homes, rights body Amnesty International said. ","
                U.N. moves to protect South Sudan civilians after years of criticism | Reuters"
 ,08312017,Reuters,08242017,"The move, announced on Thursday, follows the company’s $49 billion takeover of U.S. peer Reynolds American, which added Camel cigarettes and Vuse e-cigarettes to a BAT portfolio that includes Lucky Strike cigarettes, Vype e-cigarettes and the glo tobacco-heating device. “Now that we have built a successful NGP (next generation products) business which is poised for substantial growth, we will be fully integrating NGP to leverage the scale and expertise of the whole group to drive growth in an area that is fast becoming a key part of our mainstream business,” BAT said in a statement. BAT and Philip Morris were the first of the big tobacco firms to invest in cigarette alternatives a few year back, as growing health consciousness reduces traditional smoking. Philip Morris, maker of Marlboro cigarettes, is ahead of BAT in the market for tobacco-based vaping devices, which some analysts believe will be more popular than traditional e-cigarettes with regular smokers, and its shares have been at a bigger premium to its peers. (bit.ly/2xOLU9R) Last month, the U.S. Food and Drug Administration (FDA) proposed cutting nicotine in cigarettes to “non-addictive” levels in a push to move smokers toward potentially less harmful e-cigarettes. Under the management reorganization announced on Thursday BAT appointed Asia-Pacific Director Jack Bowles to the newly created role of chief operating officer for the international business, excluding the United States. Shares were up around 1.5 percent at 1322 GMT on Thursday. Jefferies analyst Owen Bennett said the changes could add some uncertainty for BAT in the near term, but in the longer term it reinforced the importance of cigarette alternatives to tobacco companies, which face slowing sales globally. “Whereas those companies that were better positioned for emerging market growth in the past were favoured, the key differentiator now is likely to be who is positioned best in emerging products, given the recent slowdown in emerging market cigarettes,” the analyst said. Japan Tobacco said last week it would buy the Philippines’ No. 2 cigarette maker Mighty Corp for about $936 million, its second large deal in Southeast Asia this month, as it deepens its push into emerging markets. For a graphic on British American Tobacco vs Philip Morris (YTD)    bit.ly/2xOLU9R ","
                BAT restructures to help e-cigarettes go mainstream | Reuters"
 ,08312017,Reuters,08242017,"In response to the outbreak, the U.N. has opened an emergency hospital in the camp and the patients are currently being admitted in two facilities. Officials of the World Health Organization, UNICEF and the Borno State Ministry of Health are all currently on ground and patients are being attended to. ","Cholera Outbreak: 14 Dead, 230 Admitted In Borno IDP Camp • Channels Television"
 ,08312017,Reuters,08242017,"MAIDUGURI, Nigeria (Reuters) - Cholera has broken out in northeast Nigeria at a camp for people displaced by the eight year conflict with Boko Haram, aid group Médecins Sans Frontières said on Thursday, bringing disease to communities already underfed and living in squalor. The outbreak in the city of Maiduguri, the epicenter of the fight against the Islamist insurgents, confirms aid groups’ fears that Nigeria’s rainy season could spread disease in camps for the internally displaced that are often already unsanitary. About 1.8 million have abandoned their homes because of violence or food shortages, U.N. agencies say, and many of them live in camps for the displaced throughout northeast Nigeria, particularly in Maiduguri and the surrounding state of Borno. Médecins Sans Frontières (MSF), also known as Doctors Without Borders, is increasing its “efforts to prevent further deaths and the spread of cholera in Maiduguri”, the group said. MSF said it had set up a 40-bed cholera treatment unit, which has admitted 70 patients, mostly from the Muna Garage camp. “Following heavy rains, the camp is partly flooded, making the already poor sanitary conditions at the camp even worse, which is an additional risk factor during a cholera outbreak,” MSF said, adding that a potential case has been reported from another part of Maiduguri. “Since last weekend, we have witnessed a steady increase in the number of patients at our treatment center and at the rehydration point in Muna camp,” said Anne-Cecile Niard, MSF project coordinator in the statement. “We are worried that the number of beds that are currently planned will not be enough to cope at the peak of the outbreak.” More than 20,000 people have been killed in the conflict with Boko Haram, and 5.2 million people in the northeast do not have secure access to food, with tens of thousands already in famine-like conditions, according to the United Nations. ","
                Cholera hits camp for displaced in northeast Nigeria | Reuters"
