Author,EndDate,Site,StartDate,Text,Title
,08312017,Reuters,08242017,"“We’ve already done about 10 percent of it this year,” Flavio Cotini, Wal-Mart’s chief executive in Brazil, told reporters at the Latam Retail Show in Sao Paulo on Tuesday. Wal-Mart is Brazil’s third-largest diversified retailer. ","
                Wal-Mart eyes $316 million in Brazil store reforms through 2019 | Reuters"
,08312017,Reuters,08242017,"Wal-Mart Stores Inc has agreed to pay $1.6 million to workers in California who claimed the retail giant violated a state law requiring employers to include their full legal name on paystubs, lawyers for the plaintiffs said. In a proposed settlement filed in federal court in San Francisco on Thursday, lawyers from Mayall Hurley said Wal-Mart would pay the money to about 110,000 people who received wage statements that simply said “Wal-Mart,” omitting the full name of the corporate entity that paid them. To read the full story on WestlawNext Practitioner Insights, click here: bit.ly/2vobVfD ","
                Wal-Mart will pay $1.6 mln to settle claims over incomplete paystubs | Reuters"
,08312017,Reuters,08242017,"(Reuters) - Demand for Confederate flags at Chris Ackerman’s Civil War memorabilia shop in Pennsylvania has surged since violence at a white nationalist rally in Virginia this month reignited the United States’ debate over race and the legacy of slavery. The trend has been similar for other sellers of the Confederate battle flag, retailers report. But now that most major U.S. flag makers no longer produce it, given the controversy over the banner, much of the new demand is filled by imports from China and other countries. “We need to get more flags,” Ackerman recalled saying following the first order after the Aug. 12 rally in Charlottesville, Virginia. His Gettysburg Regimental Quartermaster store, near a historic Civil War battlefield, and website sells $400 handmade flags to re-enactors and $40 ones shipped from China. Ackerman said demand had jumped fourfold to as many as 40 sales a week, an increase he likened to the surge in gun sales that occur whenever new gun control measures are weighed or feared. Since then, a national debate has intensified over symbols of the pro-slavery Confederacy. Civil rights activists say they promote racism, while advocates contend they recognize Civil War valor and are a vital reminder of their Southern heritage. The flashpoint for the Aug. 12 violence in Charlottesville was the protest organized by white nationalists against plans to remove a statue of Confederate General Robert E. Lee. A 32-year-old local woman was killed when a man crashed a car into a crowd of anti-racism counter-protesters. Amid the renewed discussion of the Civil War’s legacy, many cities in the South have stepped up their removal of Confederate monuments and other contentious symbols of the failed effort by the Confederacy’s 11 states to secede from the Union. Some businesses also got involved: The Six Flags over Texas amusement park removed a Confederate flag from its entrance. A group of Mississippi history professors called for the Confederate emblem to be removed from their state’s flag. And local news media reported that a flea market in Pennsylvania asked vendors not to sell Confederate flags. But at Alabama Flag and Banner, one of the few remaining U.S. makers of Confederate battle flags, sales topped 150 in a single day last week, equivalent to about a quarter of average annual sales. “I have been quite surprised,” said Belinda Melson-Kennedy, who owns the Huntsville-area company. Flag orders also quadrupled at Dixie Outfitters in Odum, Georgia, whose website says tongue in cheek that it has been “preserving Southern heritage since 1861” - the year the Civil War began. Owner Dewey Barber said he sells as many as 15,000 Confederate flags a year, which he obtains from distributors who often source them from overseas. Few major U.S. flag manufacturers still produce the Confederate battle flag, said Reggie VandenBosch, secretary of the Flag Manufacturers Association of America. He did not know exactly how many are made or sold each year. The flags can still be found at independent shops selling higher-end versions, websites with cheap imported flags, flea markets and from smaller makers such as the Southern Pride Flag Co, whose website says it is located in “occupied Georgia.” The flag carried into battle by Confederate forces has long been a fixture in popular culture, including prominently on the roof of an orange Dodge Charger muscle car in the popular 1980s TV show “Dukes of Hazzard.” It has often been adopted as a sign of independence or defiance, often without historical context, said Karen Cox, professor of history at the University of North Carolina-Charlotte. But it also serves as rallying symbol for the far right and was carried by marchers in Charlottesville who included Ku Klux Klan members and neo-Nazis. Alabama Flag and Banner’s Melson-Kennedy, whose distant relatives fought for the Confederacy, said she disliked seeing the flag used by white supremacists. But she said it remained an important reminder of Southern history and culture. While it remains unclear whether the push to remove Confederate monuments will result in more flags coming down, acceptance of their display in public spaces appears to be declining, said Brandy Faulkner, a Virginia Tech expert on race and politics. Dixie Outfitters’ Barber disagreed. “It’s not going away,” Barber said. “They can take down monuments, they can ban this and that, but it doesn’t take away from the fact that we’re celebrating our heritage.” ","
                Confederate battle flag sales boom after Charlottesville clash | Reuters"
,08312017,Reuters,08242017,"WASHINGTON (Reuters) - U.S. lawmakers will help people affected by Tropical Storm Harvey, which has battered southern Texas, flooding streets and leaving 30,000 people temporarily homeless in Houston, a spokeswoman for U.S. House of Representatives Speaker Paul Ryan said on Monday. “We will help those affected by this terrible disaster. The first step in that process is a formal request for resources from the administration,” Ryan spokeswoman AshLee Strong said in an email. ","
                Congress will help victims of storm Harvey after administration request | Reuters"
Shoshanna Delventhal,08312017,Investopedia,08242017,"Find the best broker for your trading or investing needs S. Robson “Rob” Walton, the son of Wal-Mart Stores Inc. (WMT) founder Sam Walton and the retailer’s former chairman, sold shares on Wednesday and Thursday with net proceeds of $62.3 million. According to a regulatory filing with the Securities and Exchange Commission (SEC), Rob sold his shares in two installments. The first sale was of 646,330 shares priced at $80.2025, amounting to proceeds of $51.8 million, while the second was of 129,628 shares at $80.4406, generating $10.4 million. Shares are trading up about 0.7% on Tuesday afternoon at $78.61, 2.3% lower than the time of the former executive’s second sale. (See also: The Top 4 Walmart Shareholders.) The news that Rob Walton sold a significant amount of WMT shares follows reports that Warren Buffett dumped nearly all of his Wal-Mart stock back in February. Rob Walton, who served as the chairman of Wal-Mart until 2015, mainta ins 106.3 million shares of WMT, worth more than $8.4 billion. The former executive is still a member of the Bentonville, Ark.-based company’s board of directors. Given that the sale represents only a small fraction of the stock he owns—less than 1%—it’s not immediately clear the reason for the sale. (See also: Walmart, Google Team on Voice Shopping.) Shares of WMT are up about 13.7% year-to-date (YTD), compared to the S&P 500’s 9.2% gain over the same period and the SPDR​ S&P Retail exchange-traded fund’s 5.9% slide. Yet as Amazon.com Inc. (AMZN) enters the brick-and-mortar space with its headline $13.7 billion acquisition of Whole Foods Market Inc. (WFM), Amazon fears have been dominating Street sentiment, knocking down shares of traditional retailer players including Wal-Mart and some of its peers, namely Kroger Co. (KR), Sprouts Farmers Market Inc. (SFM) and Costco Wholesale Corp. (COST).  ",Wal-Mart Founder’s Son Sells $62M Worth of Shares | Investopedia
Donna Fuscaldo,08312017,Investopedia,08242017,"Find the best broker for your trading or investing needs With the rivalry heating up between deep-pocketed Amazon.com Inc. (AMZN) and Wal-Mart Stores Inc. (WMT), speculation abounds as to which companies they may acquire next. After all, Amazon’s multi-billion-dollar acquisition of Whole Foods Market Inc. (WFM) just got shareholder approval, and Wal-Mart this week inked a voice-command shopping deal with Alphabet Inc’s (GOOG) Google. (See also: Walmart, Google Team on Voice Shopping.) With that in mind, Foursquare, the location intelligence technology company, is out with its list of targets for both retailers. While potential M&A deals usually arise from Wall Street, Foursquare argues it is in a good position to make predictions given all the data it collects on its users. “We can make informed recommendations about which brands Amazon and Wal-Mart should target next using our proprietary data-driven insights,” wrote Foursquare Chief Executive Jeff Glueck in a blog post this week. “Our analysis is driven by the unique perspective we have based on our location intelligence and our understanding of how people move through more than 105M locations around the globe.” The way Foursquare sees it, Amazon tends to invest in brands that are smaller and more upscale than its rivals while Wal-Mart is in e-commerce catch-up mode and is looking to broaden it reach and digital footprint. What’s more, both retailers want to experiment with so-called showrooming​, in which they roll out limited retail locations but offer on-the-spot (or later) online purchases. (See also: Why Amazon Is Losing to JD.com and Wal-Mart.) So which company tops the list of would-be targets for the two to fight over? According to Foursquare, it's department store operator Nordstrom Inc. (JWN). In the case of Amazon, Glueck argued the customers at Whole Foods and Nordstrom share similarities—the department store’s consumers are nearly twice as likely to purchase goods at Whole Foods. By acquiring the retailer, Glueck said, it would deepen its relationship with its growing base of customers. “Though Nordstrom has a strong presence within the high-growth, e-commerce-resistant industry of department stores, Nordstrom Rack is not the category leader in the discount category; that honor goes to T.J. Maxx,” wrote Glueck. “We found that Nordstrom Rack has actually lost more than 2% of its visit share to competitive discount retailers in the last two years. Amazon’s ability to slash prices further could lift the competitor brand, and give Amazon a strong foothold into the brick-and-mortar discount market.” As for Wal-Mart, Glueck said it will be able to reach new customers by acquiring Nordstrom and getting Nordstrom Rack under its control. Foursquare’s foot traffic shows Nordstrom customers are around 55% less likely to shop at Wal-Mart stores than the average American. “What Nordstrom does have is a bona-fide track record as well as a healthy concentration of Millennials and females, a nice addition for Wal-Mart to balance out the the purchase of Bonobos [an online men’s clothing retailer], which has a wider male reach,” wrote Glueck. Other targets the two could fight over include Warby Parker, the online eyeglasses and sunglasses retailer, which would push the whole showrooming concept because of its 45 click-and-mortar boutiques and plans to open 25 more. It doesn’t hurt that 55% of its consumer base is made up of Millennials. Glueck noted Lowe’s Companies Inc. (LOW) is uniquely attractive to Amazon while Ulta Beauty Inc. (ULTA) is a potential target for Wal-Mart. “Of course, this is all speculation, supported by our data on foot traffic patterns (we know that foot traffic is just one indicator used to determine acquisition targets),” the CEO wrote. “But inevitably, both will acquire other interesting brands in the future.” ",Is Nordstrom the Next Bout in Amazon v. Walmart?  | Investopedia
Shoshanna Delventhal,08312017,Investopedia,08242017,"Find the best broker for your trading or investing needs Seattle-based e-commerce and cloud computing giant Amazon.com Inc. (AMZN) is moving fast to disrupt the grocery retail space by cutting prices at the newly acquired Whole Foods Market Inc. chain. Investors are reacting by pushing shares of rival chains even lower. Having completed the $13.7 billion purchase of the natural food grocer, the global tech giant cut Whole Foods prices by as much as 43%, extending losses in the shares of rivals, including the Kroger Co. (KR), Wal-Mart Stores Inc. (WMT) and Costco Wholesale Corp. (COST). Kroger shares have declined more than 28% since Amazon-Whole Foods deal was announced in mid-June. Traders at Cowen & Co. remain concerned about Wal-Mart in particular, indicating that the acquisition is a direct attack on its grocery segment, the $244 billion company’s largest revenue driver. “With these cost cuts, Whole Foods is going to be able to go after Wal-Mart's market share, because they're going to attack and go after the customer and take them from Wal-Mart,"" said David Seaburg, head of equity sales trading at Cowen & Co. ""They're going to be able to compete on price and provide a much higher-quality product, and Wal-Mart's going to suffer.” Seaburg also highlights competition from German discount supermarket chain Aldi, which has recently ramped up its U.S. presence alongside German rival Lidl. The trader suggests WMT stock is expensive at current levels, as he foresees very limited upside. While the retailer has been seen as a “relatively safe bet,"" Seaburg warns that competitive pressure will soon “come to a head.” (See also: German Supermarket Giant Lidl Makes its U.S. Debut.) The downbeat sentiment contrasts with analysts at MKM Partners, who suggest that Walmart’s grocery business is “pretty well-differentiated,” and that Whole Foods' lower prices will not be enough to lure away the “core Wal-Mart customer.” (See also: Walmart, Google Team on Voice Shopping.) ","Wal-Mart ‘Under Siege’ by Amazon, Aldi: Cowen  | Investopedia"
David Floyd,08312017,Investopedia,08242017,"Find the best broker for your trading or investing needs It sounds like the Northwest Passage, the Fountain of Youth or El Dorado: the kind of tantalizing myth that spurs minor Spanish nobility to tramp through unfamiliar continents for years on end, but simply doesn't exist. Be that as it may, the Amazon-Proof Retailer might just be a real thing. Best Buy Co. Inc. (BBY) has not just avoided the ugly ravages suffered by the likes of Sears Holdings Corp. (SHLD) and Macy's Inc. (M). Its shares have actually returned more over the past two years (121%) than Amazon.com Inc.'s (AMZN) have (94%). Unlike other big box retailers, Best Buy has managed to keep its revenues and profits intact in the face of the online juggernaut. Same-store sales growth has been bumpy, but an unexpected surge in the first quarter of 2017 – 1.6% growth compared to a forecast 1.5% decline – sent the stock up by over 20% on May 25. What explains Best Buy's resilience? It has not been able to employ the same defense as Wal-Mart Stores Inc. (WMT), which simply bought Amazon's competitor Jet.com. Best Buy is less than a twelfth the size of Walmart, measured by market capitalization. However, as CFRA's Efraim Levy wrote in a recent note, the firm uses its physical presence to its advantage: it ""encourages consumers to browse and test electronics, including TVs and stereos in-store."" Any real-world retailer could potentially appeal on similar grounds, but buying a stereo or a flat-screen TV is different from buying a set of drill bits or a dress shirt. You could go to Sears for the drill bits, but they're standardized anyway, so why not order them online? You could go to Macy's for the dress shirt, but you know the size and brand you want, so again, why not go online? In both cases the stakes are low because the costs are. That's not the case for expensive electronics: you want to scrutinize them in person. The risk, from Best Buy's perspective, is that you do that, decide on the exact product you want, then order it on Amazon. To combat that trend, Levy points out, Best Buy matches Amazon's prices. He writes that Geek Squad, the company's technical support service, also acts as a draw, although Amazon has begun offering in-home consultations with Alexa experts. This ""encroachment,"" as Levy puts it, is a reminder that perhaps no retailer is totally Amazon-proof. Grocery stores had appeared immune to disruption since the collapse of dotcom darling Webvan in 2001. Then Amazon bought Whole Foods, knocking 9% off Kroger Co.'s (KR) stock on June 16. If it can be sold, Amazon is likely to try to dominate the market for it. Best Buy may be holding its own for now, but there are no guarantees in Primeworld. Disclosure: the author owns a long position in Kroger. ",Is Best Buy Amazon-Proof? | Investopedia
Donna Fuscaldo,08312017,Investopedia,08242017,"Find the best broker for your trading or investing needs Amazon.com Inc. (AMZN) may be spending a ton of money to position itself for future growth, but that isn’t worrying MKM Partners, which urged investors to buy the stock in a research report this week. With shares surging after the company closed on its purchase of Whole Foods Market, MKM Partners thinks there’s room for Amazon’s stock to climb higher. The firm has a $1,275 price target and buy rating on the online retailer. Even with shares up 1.1% or $10.78 to $978.38 a share Thursday, MKM thinks it can gain an additional 30%. Robert Sanderson, an analyst at MKM Partners wrote in a research report covered by the media that the Seattle-based e-commerce giant “has the largest and most tangible set of long-term growth opportunities of any company in the world.” Sanderson argued that while the value of a business lies on the cash earnings it can produce, it shouldn’t be the main focus for management or investors. Sanderson pointed to Apple Inc. (AAPL) as a company that could have used its cash for growth in the early days of the smartphone and digital media markets but chose not to. “Rather than acquiring emerging businesses or making large bets to expand its value-chain, Apple generated a huge amount of earnings, paid $110 billion in taxes, redistributed $215 billion of cash to shareholders and still has $260 billion on its balance sheet,” Sanderson wrote. (See also: Amazon Set for 'Spectacular Collapse.') In the future, growth for Amazon will come from its retail investments and Amazon Web Services (AWS), the company’s cloud computing unit, said Sanderson, predicting that its position in 12 international markets will generate 40% of its commerce sales, and that excludes China. He sees the company’s growth internationally continuing over time. That’s not to say it won’t continue to kill it in the U.S. as well. With e-commerce only accounting for 9% of retail sales in the U.S., Sanderson said there’s a lot of room for growth. “While initial categories like books and electronics have already seen significant impact (R.I.P. Borders and Circuit City), growth in online sales is now pressuring incumbent business models across most categories of retail,” the analyst said in the research report. MKM's call comes at the same time that Moody’s Investors Service is warning that the perception that Amazon is outdoing all of its brick-and-mortar rivals may be overstated. In a research report, the firm argued that while Whole Foods is seen as the e-commerce giant's way to overtake the retail food market, online sales paint a different picture. ""Many see Amazon's purchase of Whole Foods as further evidence that the online giant is dominating US retail, and the company is likely to remain the preeminent player in online shopping,"" said Moody's Vice President Charlie O'Shea in a report. ""But online sales still account for only about 10% of overall US retail sales, with a much lower percentage in the grocery segment, leaving the big brick and mortar retailers, led by Walmart, still really formidable competitors in the industry."" (See also: Wal-Mart ‘Under Siege’ by Amazon, Aldi: Cowen.) ",Amazon Best for Growth: MKM Partners | Investopedia
Thomas Franck,08312017,CNBC,08242017,"Google's partnership with Wal-Mart won't affect Amazon's ascent because similar deals between the search engine and other large retailers have had ""little to no impact"" on the growth of Amazon's shopping services, according to Cowen research. The partnership between Wal-Mart and Google, announced Wednesday, will give shoppers the ability to order hundreds of thousands of products from Wal-Mart by voice through Google Express, its online shopping service. The deal is another strategic step by Wal-Mart to advance its e-commerce operations to compete with Amazon's powerful voice-enabled network Alexa. Google Express came about in 2013 and has deals with Costco and Target, which offer similar goods as Wal-Mart, Cowen analyst John Blackledge said, but those partnerships have ""had little to no impact on Amazon's retail business or the growth of Amazon Prime households."" ""While we are encouraged to see Google continue to enhance its eCommerce/Shopping offering, we believe the attention the announcement received was overblown,"" Blackledge wrote in a note to clients on Thursday. As of Wednesday, Google also began offering free delivery on Google Express orders so long as the order is above each retailer's minimum threshold. Amazon said Thursday that its acquisition of Whole Foods will close Monday, promising ""more to come,"" as the internet giant begins to integrate its Prime membership offerings into the Whole Foods network. Prime members will eventually receive ""special savings and in-store benefits."" Shares of Amazon pared earlier losses Thursday afternoon and sat down 0.33 percent at 3:09 p.m. ET. Shares of Wal-Mart fell after the announcement of the Amazon-Whole Foods deal closure, now down 1.92 percent. While attention has largely been focused on Wal-Mart's new opportunities from the deal, Cowen research also noted that Google could see a meaningful uptick in its Express service. ""Of the United States households purchasing groceries online each month (about 12 percent of U.S. households on average), only about 4 percent bought groceries via Google Express in July '17,"" added Blackledge. That stands in stark comparison to the 46 percent of online grocery shoppers who said they bought goods on Amazon Prime, according to the Cowen report. Still, the analyst said he isn't persuaded that the Google-Wal-Mart agreement means much for Amazon. ""Amazon's end to end voice-enabled shopping solution is a significant advantage versus the Wal-Mart/Google pairing in our view. Overall, we do not see the partnership impacting Amazon's US retail biz and/or Prime Sub penetration."" ",Google-Wal-Mart deal won't stop Amazon's 'retail ascent:' Cowen
